"site_code","sample_date","comments","flags","display_name","count","immature","winged","size","observer","trap_name","trap_count"
"AA-17",2002-08-03,NA,NA,"Acari",1,NA,NA,"not measured","MATS","6",9
"AA-17",2002-08-03,NA,NA,"Acari",5,NA,NA,"not measured","MATS","5",9
"AA-17",2002-08-03,NA,NA,"Acari",2,NA,NA,"not measured","MATS","2",9
"AA-17",2002-08-03,NA,NA,"Acari",4,NA,NA,"not measured","MATS","1",9
"AA-17",2002-08-03,NA,NA,"Acari",1,NA,NA,"not measured","MATS","9",9
"AA-17",2002-08-03,NA,NA,"Acari",10,NA,NA,"not measured","MATS","10",9
"AA-17",2002-08-03,NA,NA,"Acari",11,NA,NA,"not measured","MATS","8",9
"AA-17",2002-08-03,NA,NA,"Carabidae",6,NA,NA,"between 2 and 5 mm","MATS","2",9
"AA-17",2002-08-03,NA,NA,"Carabidae",2,NA,NA,"between 2 and 5 mm","MATS","7",9
"AA-17",2002-08-03,NA,NA,"Collembola",6,NA,NA,"not measured","MATS","6",9
"AA-17",2002-08-03,NA,NA,"Collembola",35,NA,NA,"not measured","MATS","1",9
"AA-17",2002-08-03,NA,NA,"Collembola",7,NA,NA,"not measured","MATS","3",9
"AA-17",2002-08-03,NA,NA,"Collembola",2,NA,NA,"not measured","MATS","9",9
"AA-17",2002-08-03,NA,NA,"Collembola",7,NA,NA,"not measured","MATS","8",9
"AA-17",2002-08-03,NA,NA,"Collembola",8,NA,NA,"not measured","MATS","2",9
"AA-17",2002-08-03,NA,NA,"Collembola",2,NA,NA,"not measured","MATS","7",9
"AA-17",2002-08-03,NA,NA,"Formicidae",1,NA,"TRUE","not measured","MATS","9",9
"AA-17",2002-08-03,NA,NA,"Formicidae",10,NA,NA,"not measured","MATS","10",9
"AA-17",2002-08-03,NA,NA,"Formicidae",7,NA,NA,"not measured","MATS","9",9
"AA-17",2002-08-03,NA,NA,"Formicidae",64,NA,NA,"not measured","MATS","8",9
"AA-17",2002-08-03,NA,NA,"Formicidae",1,NA,"TRUE","not measured","MATS","7",9
"AA-17",2002-08-03,NA,NA,"Formicidae",16,NA,NA,"not measured","MATS","7",9
"AA-17",2002-08-03,NA,NA,"Formicidae",2,NA,NA,"not measured","MATS","6",9
"AA-17",2002-08-03,NA,NA,"Formicidae",6,NA,NA,"not measured","MATS","5",9
"AA-17",2002-08-03,NA,NA,"Formicidae",1,NA,"TRUE","not measured","MATS","2",9
"AA-17",2002-08-03,NA,NA,"Formicidae",19,NA,NA,"not measured","MATS","2",9
"AA-17",2002-08-03,NA,NA,"Formicidae",1,NA,NA,"not measured","MATS","1",9
"AA-17",2002-08-03,NA,NA,"Lepismatidae",1,NA,NA,"not measured","MATS","10",9
"AA-17",2002-08-03,NA,NA,"Scarabaeidae",1,NA,NA,"not measured","MATS","1",9
"AA-17",2002-08-03,NA,NA,"Scarabaeidae",1,NA,NA,"not measured","MATS","2",9
"AA-17",2002-08-03,NA,NA,"Staphylinidae",1,NA,NA,"not measured","MATS","5",9
"AA-17",2002-08-03,NA,NA,"Tenebrionidae",1,NA,NA,"between 2 and 5 mm","MATS","7",9
"AA-17",2002-08-03,NA,NA,"Tenebrionidae",2,NA,NA,"between 2 and 5 mm","MATS","10",9
"AA-17",2002-08-03,NA,NA,"Tenebrionidae",15,NA,NA,"between 5 and 10 mm","MATS","2",9
"AA-17",2002-08-03,NA,NA,"Tenebrionidae",6,NA,NA,"between 5 and 10 mm","MATS","1",9
"AA-17",2002-08-03,"trap missing","trap_not_collected",NA,NA,NA,NA,NA,NA,"4",9
"AA-17",2002-09-23,NA,NA,"Acari",7,NA,NA,"not measured","MATS","7",10
"AA-17",2002-09-23,NA,NA,"Acari",5,NA,NA,"not measured","MATS","9",10
"AA-17",2002-09-23,NA,NA,"Acari",5,NA,NA,"not measured","MATS","8",10
"AA-17",2002-09-23,NA,NA,"Acari",1,NA,NA,"not measured","MATS","6",10
"AA-17",2002-09-23,NA,NA,"Acari",1,NA,NA,"not measured","MATS","4",10
"AA-17",2002-09-23,NA,NA,"Aphididae",1,NA,NA,"not measured","MATS","4",10
"AA-17",2002-09-23,NA,NA,"Carabidae",1,NA,NA,"between 2 and 5 mm","MATS","3",10
"AA-17",2002-09-23,NA,NA,"Chalcidoidea",2,NA,NA,"not measured","MATS","6",10
"AA-17",2002-09-23,NA,NA,"Coccoidea",4,NA,NA,"not measured","MATS","9",10
"AA-17",2002-09-23,NA,NA,"Coleoptera",1,NA,NA,"not measured","MATS","4",10
"AA-17",2002-09-23,NA,NA,"Collembola",63,NA,NA,"not measured","MATS","9",10
"AA-17",2002-09-23,NA,NA,"Collembola",1,NA,NA,"not measured","MATS","3",10
"AA-17",2002-09-23,NA,NA,"Collembola",4,NA,NA,"not measured","MATS","2",10
"AA-17",2002-09-23,NA,NA,"Collembola",3,NA,NA,"not measured","MATS","8",10
"AA-17",2002-09-23,NA,NA,"Collembola",2,NA,NA,"not measured","MATS","7",10
"AA-17",2002-09-23,NA,NA,"Collembola",3,NA,NA,"not measured","MATS","6",10
"AA-17",2002-09-23,NA,NA,"Collembola",2,NA,NA,"not measured","MATS","1",10
"AA-17",2002-09-23,NA,NA,"Formicidae",21,NA,NA,"not measured","MATS","4",10
"AA-17",2002-09-23,NA,NA,"Formicidae",11,NA,NA,"not measured","MATS","2",10
"AA-17",2002-09-23,NA,NA,"Formicidae",19,NA,NA,"not measured","MATS","1",10
"AA-17",2002-09-23,NA,NA,"Formicidae",16,NA,NA,"not measured","MATS","6",10
"AA-17",2002-09-23,NA,NA,"Formicidae",6,NA,NA,"not measured","MATS","9",10
"AA-17",2002-09-23,NA,NA,"Formicidae",11,NA,NA,"not measured","MATS","5",10
"AA-17",2002-09-23,NA,NA,"Formicidae",5,NA,NA,"not measured","MATS","3",10
"AA-17",2002-09-23,NA,NA,"Formicidae",10,NA,NA,"not measured","MATS","10",10
"AA-17",2002-09-23,NA,NA,"Formicidae",52,NA,NA,"not measured","MATS","7",10
"AA-17",2002-09-23,NA,NA,"Formicidae",33,NA,NA,"not measured","MATS","8",10
"AA-17",2002-09-23,NA,NA,"Labiidae",1,NA,NA,"not measured","MATS","8",10
"AA-17",2002-09-23,NA,NA,"Lepismatidae",2,NA,NA,"not measured","MATS","1",10
"AA-17",2002-09-23,NA,NA,"Lepismatidae",1,NA,NA,"not measured","MATS","9",10
"AA-17",2002-09-23,NA,NA,"Lepismatidae",1,NA,NA,"not measured","MATS","6",10
"AA-17",2002-09-23,NA,NA,"Lycosa",1,NA,NA,"not measured","MATS","4",10
"AA-17",2002-09-23,NA,NA,"Miridae",1,NA,NA,"not measured","MATS","4",10
"AA-17",2002-09-23,NA,NA,"Pholcidae",1,NA,NA,"not measured","MATS","6",10
"AA-17",2002-09-23,NA,NA,"Salticidae",1,NA,NA,"not measured","MATS","10",10
"AA-17",2002-09-23,NA,NA,"Scarabaeidae",1,NA,NA,"not measured","MATS","2",10
"AA-17",2002-09-23,NA,NA,"Staphylinidae",1,NA,NA,"not measured","MATS","4",10
"AA-17",2002-09-23,NA,NA,"Tenebrionidae",1,NA,NA,"greater than 10 mm","MATS","5",10
"AA-17",2002-09-23,NA,NA,"Tenebrionidae",1,NA,NA,"between 2 and 5 mm","MATS","7",10
"AA-17",2002-09-23,NA,NA,"Tenebrionidae",2,NA,NA,"between 5 and 10 mm","MATS","10",10
"AA-17",2002-09-23,NA,NA,"Tenebrionidae",1,NA,NA,"between 5 and 10 mm","MATS","2",10
"AA-17",2002-09-23,NA,NA,"Tenebrionidae",1,NA,NA,"between 5 and 10 mm","MATS","9",10
"AA-17",2002-09-23,NA,NA,"Tenebrionidae",1,NA,NA,"between 5 and 10 mm","MATS","3",10
"AA-17",2002-09-23,NA,NA,"Theridiidae",1,NA,NA,"not measured","MATS","9",10
"AA-17",2002-09-23,NA,NA,"Theridiidae",1,NA,NA,"not measured","MATS","6",10
"AA-17",2002-11-25,"#1 Formicidae #1: 2 Solenopsis xyloni + 1 solenopsis (sm) + 1 Brachymyrmex obscurior.",NA,"Acari",4,NA,NA,"not measured","MATS","4",10
"AA-17",2002-11-25,"#1 Formicidae #1: 7 Pheidole tetra + 2 Solenopsis xyloni + 2 Forelius mccooki.",NA,"Acari",1,NA,NA,"not measured","MATS","6",10
"AA-17",2002-11-25,"#1 Formicidae #1: 2 Solenopsis xyloni + 3 Forelius mccooki.",NA,"Acari",4,NA,NA,"not measured","MATS","5",10
"AA-17",2002-11-25,NA,NA,"Acari",3,NA,NA,"not measured","MATS","2",10
"AA-17",2002-11-25,"#1 Formicidae #1: 1 Forelius mccooki + 2 Solenopsis xyloni.",NA,"Acari",1,NA,NA,"not measured","MATS","1",10
"AA-17",2002-11-25,"#1 Formicidae #1: 1 Forelius mccooki + 2 Brachymyrmex obscurior + 2 Odontomachus.",NA,"Aphididae",1,NA,NA,"not measured","MATS","9",10
"AA-17",2002-11-25,"#1 Formicidae #1: 24 Forelius mccooki ( 1 female) + 20 Dorymyrmex insanus + 11 Brachymyrmex obscurior + 2 Pheidole tetra.",NA,"Chalcidoidea",1,NA,"TRUE","not measured","MATS","8",10
"AA-17",2002-11-25,"#1 Formicidae #1: Brachymyrmex obscurior",NA,"Chilopoda",1,NA,NA,"not measured","MATS","3",10
"AA-17",2002-11-25,"#1 Formicidae #1: 2 Solenopsis xyloni + 3 Forelius mccooki.",NA,"Coleoptera",1,"TRUE",NA,"not measured","MATS","5",10
"AA-17",2002-11-25,"#1 Formicidae #1: 1 Forelius mccooki + 2 Solenopsis xyloni.",NA,"Collembola",13,NA,NA,"not measured","MATS","1",10
"AA-17",2002-11-25,"#1 Formicidae #1: Brachymyrmex obscurior",NA,"Collembola",17,NA,NA,"not measured","MATS","3",10
"AA-17",2002-11-25,NA,NA,"Collembola",6,NA,NA,"not measured","MATS","2",10
"AA-17",2002-11-25,"#1 Formicidae #1: 9 Dorymyrmex insanus + 1 Solenopsis xyloni + 1 Forelius mccooki + 2 Brachymyrmex obscurior.",NA,"Collembola",2,NA,NA,"not measured","MATS","7",10
"AA-17",2002-11-25,"#1 Formicidae #1: 7 Pheidole tetra + 2 Solenopsis xyloni + 2 Forelius mccooki.",NA,"Collembola",2,NA,NA,"not measured","MATS","6",10
"AA-17",2002-11-25,"#1 Formicidae #1: 2 Solenopsis xyloni + 3 Forelius mccooki.",NA,"Collembola",2,NA,NA,"not measured","MATS","5",10
"AA-17",2002-11-25,"#1 Formicidae #1: 2 Solenopsis xyloni + 1 solenopsis (sm) + 1 Brachymyrmex obscurior.",NA,"Collembola",23,NA,NA,"not measured","MATS","4",10
"AA-17",2002-11-25,"#1 Formicidae #1: 24 Forelius mccooki ( 1 female) + 20 Dorymyrmex insanus + 11 Brachymyrmex obscurior + 2 Pheidole tetra.",NA,"Collembola",11,NA,NA,"not measured","MATS","8",10
"AA-17",2002-11-25,"#1 Formicidae #1: 1 Forelius mccooki + 2 Brachymyrmex obscurior + 2 Odontomachus.",NA,"Collembola",6,NA,NA,"not measured","MATS","9",10
"AA-17",2002-11-25,"#1 Formicidae #1: 1 Forelius mccooki + 2 Solenopsis xyloni.",NA,"Curculionidae",1,NA,NA,"not measured","MATS","1",10
"AA-17",2002-11-25,"#1 Formicidae #1: 1 Forelius mccooki + 2 Brachymyrmex obscurior + 2 Odontomachus.",NA,"Formicidae",5,NA,NA,"not measured","MATS","9",10
"AA-17",2002-11-25,"#1 Formicidae #1: 1 Forelius mccooki + 2 Solenopsis xyloni.",NA,"Formicidae",3,NA,NA,"not measured","MATS","1",10
"AA-17",2002-11-25,"#1 Formicidae #1: Brachymyrmex obscurior",NA,"Formicidae",1,NA,NA,"not measured","MATS","3",10
"AA-17",2002-11-25,"#1 Formicidae #1: 2 Solenopsis xyloni + 1 solenopsis (sm) + 1 Brachymyrmex obscurior.",NA,"Formicidae",4,NA,NA,"not measured","MATS","4",10
"AA-17",2002-11-25,"#1 Formicidae #1: 2 Solenopsis xyloni + 3 Forelius mccooki.",NA,"Formicidae",5,NA,NA,"not measured","MATS","5",10
"AA-17",2002-11-25,"#1 Formicidae #1: 7 Pheidole tetra + 2 Solenopsis xyloni + 2 Forelius mccooki.",NA,"Formicidae",11,NA,NA,"not measured","MATS","6",10
"AA-17",2002-11-25,"#1 Formicidae #1: 9 Dorymyrmex insanus + 1 Solenopsis xyloni + 1 Forelius mccooki + 2 Brachymyrmex obscurior.",NA,"Formicidae",13,NA,NA,"not measured","MATS","7",10
"AA-17",2002-11-25,"#1 Formicidae #1: 24 Forelius mccooki ( 1 female) + 20 Dorymyrmex insanus + 11 Brachymyrmex obscurior + 2 Pheidole tetra.",NA,"Formicidae",56,NA,NA,"not measured","MATS","8",10
"AA-17",2002-11-25,"#1 Formicidae #1: 24 Forelius mccooki ( 1 female) + 20 Dorymyrmex insanus + 11 Brachymyrmex obscurior + 2 Pheidole tetra.",NA,"Formicidae",1,NA,"TRUE","not measured","MATS","8",10
"AA-17",2002-11-25,"#1 Formicidae #1: 19 Brachymyrmex  obscurior + 2 Forelius mccooki.",NA,"Formicidae",21,NA,NA,"not measured","MATS","10",10
"AA-17",2002-11-25,NA,NA,"Gryllidae",1,NA,NA,"not measured","MATS","2",10
"AA-17",2002-11-25,"#1 Formicidae #1: 2 Solenopsis xyloni + 3 Forelius mccooki.",NA,"Isopoda",1,NA,NA,"not measured","MATS","5",10
"AA-17",2002-11-25,"#1 Formicidae #1: 24 Forelius mccooki ( 1 female) + 20 Dorymyrmex insanus + 11 Brachymyrmex obscurior + 2 Pheidole tetra.",NA,"Lycosa",1,NA,NA,"not measured","MATS","8",10
"AA-17",2002-11-25,"#1 Formicidae #1: 19 Brachymyrmex  obscurior + 2 Forelius mccooki.",NA,"Thysanoptera",2,NA,NA,"not measured","MATS","10",10
"AA-17",2002-11-25,"#1 Formicidae #1: 19 Brachymyrmex  obscurior + 2 Forelius mccooki.",NA,"Tingidae",3,NA,NA,"not measured","MATS","10",10
"AA-17",2003-01-20,NA,NA,"Acari",4,NA,NA,"not measured","MATS","6",10
"AA-17",2003-01-20,NA,NA,"Acari",1,NA,NA,"not measured","MATS","8",10
"AA-17",2003-01-20,NA,NA,"Acari",2,NA,NA,"not measured","MATS","10",10
"AA-17",2003-01-20,NA,NA,"Acari",12,NA,NA,"not measured","MATS","3",10
"AA-17",2003-01-20,NA,NA,"Acari",2,NA,NA,"not measured","MATS","5",10
"AA-17",2003-01-20,NA,NA,"Acari",4,NA,NA,"not measured","MATS","1",10
"AA-17",2003-01-20,NA,NA,"Acari",1,NA,NA,"not measured","MATS","7",10
"AA-17",2003-01-20,NA,NA,"Aphididae",1,NA,NA,"not measured","MATS","7",10
"AA-17",2003-01-20,NA,NA,"Aphididae",1,NA,NA,"not measured","MATS","10",10
"AA-17",2003-01-20,NA,NA,"Aphididae",1,NA,NA,"not measured","MATS","9",10
"AA-17",2003-01-20,NA,NA,"Collembola",4,NA,NA,"not measured","MATS","10",10
"AA-17",2003-01-20,NA,NA,"Collembola",4,NA,NA,"not measured","MATS","9",10
"AA-17",2003-01-20,NA,NA,"Collembola",25,NA,NA,"not measured","MATS","8",10
"AA-17",2003-01-20,NA,NA,"Collembola",21,NA,NA,"not measured","MATS","7",10
"AA-17",2003-01-20,NA,NA,"Collembola",52,NA,NA,"not measured","MATS","6",10
"AA-17",2003-01-20,NA,NA,"Collembola",11,NA,NA,"not measured","MATS","5",10
"AA-17",2003-01-20,NA,NA,"Collembola",159,NA,NA,"not measured","MATS","4",10
"AA-17",2003-01-20,NA,NA,"Collembola",28,NA,NA,"not measured","MATS","3",10
"AA-17",2003-01-20,NA,NA,"Collembola",8,NA,NA,"not measured","MATS","2",10
"AA-17",2003-01-20,NA,NA,"Collembola",47,NA,NA,"not measured","MATS","1",10
"AA-17",2003-01-20,NA,NA,"Diptera",1,NA,NA,"not measured","MATS","6",10
"AA-17",2003-01-20,NA,NA,"Diptera",1,NA,NA,"not measured","MATS","1",10
"AA-17",2003-01-20,NA,NA,"Diptera",3,NA,NA,"not measured","MATS","3",10
"AA-17",2003-01-20,NA,NA,"Diptera",15,NA,NA,"not measured","MATS","4",10
"AA-17",2003-01-20,NA,NA,"Diptera",1,NA,NA,"not measured","MATS","5",10
"AA-17",2003-01-20,NA,NA,"Diptera",1,NA,NA,"not measured","MATS","7",10
"AA-17",2003-01-20,NA,NA,"Formicidae",11,NA,NA,"not measured","MATS","7",10
"AA-17",2003-01-20,NA,NA,"Formicidae",20,NA,NA,"not measured","MATS","10",10
"AA-17",2003-01-20,NA,NA,"Formicidae",1,NA,NA,"not measured","MATS","2",10
"AA-17",2003-01-20,NA,NA,"Formicidae",7,NA,NA,"not measured","MATS","8",10
"AA-17",2003-01-20,NA,NA,"Isopoda",2,NA,NA,"not measured","MATS","10",10
"AA-17",2003-01-20,NA,NA,"Linyphiidae",1,NA,NA,"not measured","MATS","1",10
"AA-17",2003-01-20,NA,NA,"Lycosa",2,NA,NA,"not measured","MATS","9",10
"AA-17",2003-01-20,NA,NA,"Lycosa",1,NA,NA,"not measured","MATS","2",10
"AA-17",2003-01-20,NA,NA,"Philodromidae",1,NA,NA,"not measured","MATS","3",10
"AA-17",2003-01-20,NA,NA,"Psocodea",1,"TRUE",NA,"not measured","MATS","5",10
"AA-17",2003-01-20,NA,NA,"Theridiidae",1,NA,NA,"not measured","MATS","1",10
"AA-17",2003-01-20,NA,NA,"Thysanoptera",1,NA,NA,"not measured","MATS","10",10
"AA-17",2003-04-07,NA,NA,"Acari",5,NA,NA,"not measured","MATS","5",7
"AA-17",2003-04-07,NA,NA,"Acari",1,NA,NA,"not measured","MATS","3",7
"AA-17",2003-04-07,NA,NA,"Acari",2,NA,NA,"not measured","MATS","6",7
"AA-17",2003-04-07,NA,NA,"Acari",1,NA,NA,"not measured","MATS","2",7
"AA-17",2003-04-07,NA,NA,"Aphididae",1,NA,NA,"not measured","MATS","5",7
"AA-17",2003-04-07,NA,NA,"Aphididae",1,NA,NA,"not measured","MATS","10",7
"AA-17",2003-04-07,NA,NA,"Aphididae",1,NA,NA,"not measured","MATS","2",7
"AA-17",2003-04-07,NA,NA,"Aphididae",4,NA,NA,"not measured","MATS","4",7
"AA-17",2003-04-07,NA,NA,"Aphididae",1,NA,NA,"not measured","MATS","6",7
"AA-17",2003-04-07,NA,NA,"Carabidae",2,NA,NA,"not measured","MATS","5",7
"AA-17",2003-04-07,NA,NA,"Collembola",51,NA,NA,"not measured","MATS","4",7
"AA-17",2003-04-07,NA,NA,"Collembola",6,NA,NA,"not measured","MATS","3",7
"AA-17",2003-04-07,NA,NA,"Collembola",128,NA,NA,"not measured","MATS","5",7
"AA-17",2003-04-07,NA,NA,"Collembola",15,NA,NA,"not measured","MATS","2",7
"AA-17",2003-04-07,NA,NA,"Collembola",50,NA,NA,"not measured","MATS","10",7
"AA-17",2003-04-07,NA,NA,"Collembola",508,NA,NA,"not measured","MATS","6",7
"AA-17",2003-04-07,NA,NA,"Formicidae",9,NA,NA,"not measured","MATS","5",7
"AA-17",2003-04-07,NA,NA,"Formicidae",20,NA,NA,"not measured","MATS","4",7
"AA-17",2003-04-07,NA,NA,"Formicidae",11,NA,NA,"not measured","MATS","2",7
"AA-17",2003-04-07,NA,NA,"Formicidae",13,NA,NA,"not measured","MATS","10",7
"AA-17",2003-04-07,NA,NA,"Formicidae",9,NA,NA,"not measured","MATS","3",7
"AA-17",2003-04-07,NA,NA,"Formicidae",40,NA,NA,"not measured","MATS","6",7
"AA-17",2003-04-07,NA,NA,"Formicidae",8,NA,NA,"not measured","MATS","1",7
"AA-17",2003-04-07,NA,NA,"Gnaphosidae",1,NA,NA,"not measured","MATS","2",7
"AA-17",2003-04-07,NA,NA,"Hymenoptera",1,NA,"TRUE","not measured","MATS","5",7
"AA-17",2003-04-07,NA,NA,"Linyphiidae",1,NA,NA,"not measured","MATS","3",7
"AA-17",2003-04-07,NA,NA,"Lycosa",1,NA,NA,"not measured","MATS","2",7
"AA-17",2003-04-07,NA,NA,"Lycosa",1,NA,NA,"not measured","MATS","6",7
"AA-17",2003-04-07,NA,NA,"Psocodea",1,"TRUE",NA,"not measured","MATS","2",7
"AA-17",2003-04-07,NA,NA,"Scarabaeidae",1,NA,NA,"not measured","MATS","6",7
"AA-17",2003-04-07,NA,NA,"Tenebrionidae",2,NA,NA,"between 5 and 10 mm","MATS","6",7
"AA-17",2003-04-07,NA,NA,"Thysanoptera",1,NA,NA,"not measured","MATS","2",7
"AA-17",2003-04-07,"trap missing","trap_not_collected",NA,NA,NA,NA,NA,NA,"7",7
"AA-17",2003-04-07,"trap missing","trap_not_collected",NA,NA,NA,NA,NA,NA,"8",7
"AA-17",2003-04-07,"trap missing","trap_not_collected",NA,NA,NA,NA,NA,NA,"9",7
"AA-17",2003-06-16,NA,NA,"Acari",5,NA,NA,"not measured","MATS","2",10
"AA-17",2003-06-16,NA,NA,"Acari",8,NA,NA,"not measured","MATS","3",10
"AA-17",2003-06-16,NA,NA,"Acari",2,NA,NA,"not measured","MATS","5",10
"AA-17",2003-06-16,NA,NA,"Acari",1,NA,NA,"not measured","MATS","6",10
"AA-17",2003-06-16,NA,NA,"Acari",41,NA,NA,"not measured","MATS","7",10
"AA-17",2003-06-16,NA,NA,"Acari",8,NA,NA,"not measured","MATS","8",10
"AA-17",2003-06-16,NA,NA,"Acari",12,NA,NA,"not measured","MATS","9",10
"AA-17",2003-06-16,NA,NA,"Acari",23,NA,NA,"not measured","MATS","10",10
"AA-17",2003-06-16,NA,NA,"Carabidae",1,NA,NA,"between 5 and 10 mm","MATS","1",10
"AA-17",2003-06-16,NA,NA,"Carabidae",2,NA,NA,"between 2 and 5 mm","MATS","3",10
"AA-17",2003-06-16,NA,NA,"Carabidae",2,NA,NA,"between 2 and 5 mm","MATS","9",10
"AA-17",2003-06-16,NA,NA,"Carabidae",1,NA,NA,"between 2 and 5 mm","MATS","10",10
"AA-17",2003-06-16,NA,NA,"Collembola",18,NA,NA,"not measured","MATS","3",10
"AA-17",2003-06-16,NA,NA,"Collembola",1,NA,NA,"not measured","MATS","10",10
"AA-17",2003-06-16,NA,NA,"Collembola",25,NA,NA,"not measured","MATS","6",10
"AA-17",2003-06-16,NA,NA,"Collembola",23,NA,NA,"not measured","MATS","7",10
"AA-17",2003-06-16,NA,NA,"Collembola",5,NA,NA,"not measured","MATS","8",10
"AA-17",2003-06-16,NA,NA,"Collembola",4,NA,NA,"not measured","MATS","9",10
"AA-17",2003-06-16,NA,NA,"Elateridae",1,NA,NA,"not measured","MATS","1",10
"AA-17",2003-06-16,NA,NA,"Formicidae",22,NA,NA,"not measured","MATS","6",10
"AA-17",2003-06-16,NA,NA,"Formicidae",108,NA,NA,"not measured","MATS","2",10
"AA-17",2003-06-16,NA,NA,"Formicidae",1,NA,"TRUE","not measured","MATS","1",10
"AA-17",2003-06-16,NA,NA,"Formicidae",32,NA,NA,"not measured","MATS","1",10
"AA-17",2003-06-16,NA,NA,"Formicidae",17,NA,NA,"not measured","MATS","10",10
"AA-17",2003-06-16,NA,NA,"Formicidae",5,NA,NA,"not measured","MATS","9",10
"AA-17",2003-06-16,NA,NA,"Formicidae",110,NA,NA,"not measured","MATS","3",10
"AA-17",2003-06-16,NA,NA,"Formicidae",13,NA,NA,"not measured","MATS","5",10
"AA-17",2003-06-16,NA,NA,"Formicidae",83,NA,NA,"not measured","MATS","7",10
"AA-17",2003-06-16,NA,NA,"Formicidae",33,NA,NA,"not measured","MATS","8",10
"AA-17",2003-06-16,NA,NA,"Formicidae",1,NA,"TRUE","not measured","MATS","8",10
"AA-17",2003-06-16,NA,NA,"Gnaphosidae",1,NA,NA,"not measured","MATS","4",10
"AA-17",2003-06-16,NA,NA,"Gryllidae",1,NA,NA,"not measured","MATS","8",10
"AA-17",2003-06-16,NA,NA,"Isopoda",4,NA,NA,"not measured","MATS","8",10
"AA-17",2003-06-16,NA,NA,"Isopoda",1,NA,NA,"not measured","MATS","10",10
"AA-17",2003-06-16,NA,NA,"Labiidae",1,NA,NA,"not measured","MATS","1",10
"AA-17",2003-06-16,NA,NA,"Lepismatidae",1,NA,NA,"not measured","MATS","7",10
"AA-17",2003-06-16,NA,NA,"Lepismatidae",2,NA,NA,"not measured","MATS","3",10
"AA-17",2003-06-16,NA,NA,"Tenebrionidae",2,NA,NA,"between 5 and 10 mm","MATS","2",10
"AA-17",2003-06-16,NA,NA,"Tenebrionidae",3,NA,NA,"between 5 and 10 mm","MATS","1",10
"AA-17",2003-06-16,NA,NA,"Tenebrionidae",1,NA,NA,"between 2 and 5 mm","MATS","2",10
"AA-17",2003-06-16,NA,NA,"Tenebrionidae",2,NA,NA,"between 2 and 5 mm","MATS","3",10
"AA-17",2003-08-18,NA,NA,"Acari",6,NA,NA,"not measured","MATS","5",8
"AA-17",2003-08-18,NA,NA,"Acari",11,NA,NA,"not measured","MATS","9",8
"AA-17",2003-08-18,NA,NA,"Acari",3,NA,NA,"not measured","MATS","7",8
"AA-17",2003-08-18,NA,NA,"Acari",4,NA,NA,"not measured","MATS","6",8
"AA-17",2003-08-18,NA,NA,"Acari",1,NA,NA,"not measured","MATS","4",8
"AA-17",2003-08-18,NA,NA,"Acari",1,NA,NA,"not measured","MATS","3",8
"AA-17",2003-08-18,NA,NA,"Anthicidae",2,NA,NA,"not measured","MATS","5",8
"AA-17",2003-08-18,NA,NA,"Anthicidae",3,NA,NA,"not measured","MATS","6",8
"AA-17",2003-08-18,NA,NA,"Aphididae",2,NA,NA,"not measured","MATS","3",8
